"hypothesis","group","outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","n_obs","n_units"
"F_anchor_secondary_split","anchor","log_sales","anchor_post",-0.12133709697823401,0.06575162150575553,0.08247315330779836,-0.26006089229887713,0.017386698342409093,-11.42646694412155,-22.899536387059484,1.7538726794898984,NA,NA,NA,414,18
"F_anchor_secondary_split","secondary","log_sales","secondary_post",-0.07985547561531625,0.08039764865596319,0.33451330757302256,-0.24947968717083716,0.08976873594020465,-7.675023115024371,-22.079389145092232,9.392126977587889,NA,NA,NA,414,18
"F_anchor_secondary_split","anchor","log_transactions","anchor_post",-0.13000181677548334,0.1328344486217906,0.3414633238849767,-0.4102580057506364,0.15025437219966975,-12.19061643802405,-33.65209533579344,16.212981865181277,NA,NA,NA,414,18
"F_anchor_secondary_split","secondary","log_transactions","secondary_post",-0.09495238660925108,0.027712605147147358,0.003219005365594938,-0.15342087265104631,-0.036483900567455846,-9.058376617209674,-14.223136552834358,-3.582638358052981,NA,NA,NA,414,18
"F_anchor_secondary_split","anchor","log_avg_ticket","anchor_post",0.008665754016178454,0.09350151416199266,0.927240962488263,-0.18860519711379609,0.20593670514615298,0.8703410357447261,-17.188661628151223,22.86754327021383,NA,NA,NA,414,18
"F_anchor_secondary_split","secondary","log_avg_ticket","secondary_post",0.015096724497378781,0.07649882312302558,0.8458972220722155,-0.14630168421349607,0.17649513320825364,1.5211255665339873,-13.610296023138325,19.302862052362535,NA,NA,NA,414,18
"F_anchor_secondary_split","anchor","age20_30_share","anchor_post",0.0019052590107895252,0.021988884791966447,0.9319649258115159,-0.044487232662483375,0.04829775068406243,NA,NA,NA,0.1905259010789525,-4.448723266248337,4.829775068406243,414,18
"F_anchor_secondary_split","secondary","age20_30_share","secondary_post",0.030753343464802865,0.009111639637410471,0.0035958528678022923,0.011529464218190746,0.049977222711414984,NA,NA,NA,3.0753343464802865,1.1529464218190746,4.997722271141498,414,18
"F_anchor_secondary_split","anchor","male_sales_share","anchor_post",0.017798551887411952,0.005808015046772156,0.0070184766780413245,0.005544711265441761,0.030052392509382145,NA,NA,NA,1.7798551887411953,0.5544711265441762,3.0052392509382146,414,18
"F_anchor_secondary_split","secondary","male_sales_share","secondary_post",0.004112119482825644,0.005271973340128199,0.4461177265646189,-0.007010771996098769,0.015235010961750058,NA,NA,NA,0.4112119482825644,-0.7010771996098769,1.5235010961750057,414,18
"F_anchor_secondary_split","anchor","female_sales_share","anchor_post",-0.01779855188741195,0.0058080150467721536,0.007018476678041313,-0.030052392509382134,-0.005544711265441763,NA,NA,NA,-1.7798551887411949,-3.0052392509382133,-0.5544711265441763,414,18
"F_anchor_secondary_split","secondary","female_sales_share","secondary_post",-0.004112119482825647,0.005271973340128203,0.4461177265646189,-0.015235010961750069,0.007010771996098775,NA,NA,NA,-0.4112119482825647,-1.5235010961750068,0.7010771996098776,414,18
