"admdong_cd","admdong_nm","coef","se","p_value","pct_effect","ci_low_pct","ci_high_pct","n_obs"
"4113565000","판교동",-0.08181895868646269,0.23537855413300085,0.7341571160261167,-7.85612379194276,-44.825250406461514,53.88368746924226,1144
"4113565500","삼평동",0.41283639816273715,0.2353785541330008,0.10492157345881593,51.109778733590886,-9.517110133990203,152.35892954710462,1144
"4113565700","백현동",0.5659417489092418,0.23537855413300074,0.03325137827804422,76.11055212162512,5.453080703379554,194.1111474573513,1144
"4113554500","정자동",1.0609453285981736,0.23537855413299427,7.173532739822998e-4,188.9100848412717,72.99621246855557,382.490546653803,1144
"4113555000","정자1동",0.8799469126820605,0.23537855413299424,0.0028300455037572913,141.07717216151897,44.354385273486784,302.6078101284333,1144
"4113556000","정자2동",0.691173766904647,0.23537855413299424,0.012454197767435927,99.6057064490393,19.521723243983047,233.34892574874084,1144
"4113557000","정자3동",1.0782463408143013,0.23537855413299424,6.314451344053998e-4,193.95201119929638,76.01526306335518,390.91075048991365,1144
"4113566200","금곡동",1.7320291623395685,0.23537855413300085,8.752641465097618e-6,465.2111331464182,238.44227117620272,843.9235350903793,1144
"4113566500","구미1동",0.476291046644973,0.2353785541330008,0.06587669207002131,61.00915595176109,-3.589470863516786,168.89125630250797,1144
"4113567000","구미동",1.667208617143675,0.23537855413300085,1.2773399661046168e-5,429.73601795420586,217.20015853582856,784.678778261966,1144
