"group","outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","n_obs","n_units"
"anchor","log_sales","anchor_post",-0.12133709697823401,0.06575162150575553,0.08247315330779836,-0.26006089229887713,0.017386698342409093,-11.42646694412155,-22.899536387059484,1.7538726794898984,NA,NA,NA,414,18
"secondary","log_sales","secondary_post",-0.07985547561531625,0.08039764865596319,0.33451330757302256,-0.24947968717083716,0.08976873594020465,-7.675023115024371,-22.079389145092232,9.392126977587889,NA,NA,NA,414,18
"anchor","log_transactions","anchor_post",-0.13000181677548334,0.1328344486217906,0.3414633238849767,-0.4102580057506364,0.15025437219966975,-12.19061643802405,-33.65209533579344,16.212981865181277,NA,NA,NA,414,18
"secondary","log_transactions","secondary_post",-0.09495238660925108,0.027712605147147358,0.003219005365594938,-0.15342087265104631,-0.036483900567455846,-9.058376617209674,-14.223136552834358,-3.582638358052981,NA,NA,NA,414,18
"anchor","log_avg_ticket","anchor_post",0.008665754016178454,0.09350151416199266,0.927240962488263,-0.18860519711379609,0.20593670514615298,0.8703410357447261,-17.188661628151223,22.86754327021383,NA,NA,NA,414,18
"secondary","log_avg_ticket","secondary_post",0.015096724497378781,0.07649882312302558,0.8458972220722155,-0.14630168421349607,0.17649513320825364,1.5211255665339873,-13.610296023138325,19.302862052362535,NA,NA,NA,414,18
"anchor","weekend_share","anchor_post",-0.00501744397974448,0.00888882150988968,0.5798088356555398,-0.023771218069889587,0.013736330110400628,NA,NA,NA,-0.501744397974448,-2.3771218069889586,1.3736330110400627,414,18
"secondary","weekend_share","secondary_post",-0.011740209713570156,0.01514415530474119,0.4488535230488576,-0.04369158448864017,0.020211165061499857,NA,NA,NA,-1.1740209713570156,-4.369158448864017,2.0211165061499856,414,18
"anchor","night_share","anchor_post",0.01596549513553643,0.009094713598815031,0.09718028241359274,-0.003222673291176023,0.03515366356224888,NA,NA,NA,1.596549513553643,-0.3222673291176023,3.515366356224888,414,18
"secondary","night_share","secondary_post",0.012188618857013516,0.008857510876863523,0.18665611139904945,-0.006499095571821182,0.030876333285848212,NA,NA,NA,1.2188618857013516,-0.6499095571821182,3.087633328584821,414,18
"anchor","night_tx_share","anchor_post",0.010052248403417455,0.018745898897968814,0.5987420311300136,-0.02949814111200554,0.04960263791884045,NA,NA,NA,1.0052248403417456,-2.949814111200554,4.960263791884046,414,18
"secondary","night_tx_share","secondary_post",0.005571307065629677,0.0031367136738657416,0.09360669392114138,-0.0010465803066950358,0.01218919443795439,NA,NA,NA,0.5571307065629677,-0.10465803066950358,1.218919443795439,414,18
