"outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","hypothesis","group","n_obs","n_units"
"log_total_population","anchor_post",-0.009065303366287483,0.024249079637555213,0.7131440539209921,-0.06022638933372213,0.042095782601147165,-0.902433738686248,-5.844864772913427,4.299437468072953,NA,NA,NA,"living_anchor_secondary_split","anchor",846,18
"log_total_population","secondary_post",-0.03809773763239247,0.02079475548341909,0.08451720267777814,-0.08197083668854484,0.005775361423759895,-3.738114779423918,-7.870117357081085,0.5792070975960684,NA,NA,NA,"living_anchor_secondary_split","secondary",846,18
"age20_30_share","anchor_post",0.0034205506237605966,0.002608585992278218,0.20720360081498493,-0.002083084738865766,0.00892418598638696,NA,NA,NA,0.34205506237605965,-0.2083084738865766,0.8924185986386959,"living_anchor_secondary_split","anchor",846,18
"age20_30_share","secondary_post",0.009198188076144668,0.002889086145169132,0.005433980303254549,0.003102749121364428,0.015293627030924909,NA,NA,NA,0.9198188076144668,0.3102749121364428,1.529362703092491,"living_anchor_secondary_split","secondary",846,18
"age40_50_share","anchor_post",0.007754465118894958,0.0028422028568963857,0.014302637453017254,0.0017579412560526086,0.013750988981737308,NA,NA,NA,0.7754465118894959,0.17579412560526086,1.3750988981737309,"living_anchor_secondary_split","anchor",846,18
"age40_50_share","secondary_post",0.0029506241925880403,0.004365018460375819,0.5081517503901077,-0.00625875975264286,0.01216000813781894,NA,NA,NA,0.29506241925880405,-0.6258759752642861,1.216000813781894,"living_anchor_secondary_split","secondary",846,18
"age60plus_share","anchor_post",3.212734243757897e-4,0.0011000531970997145,0.7737804948158417,-0.0019996359473105313,0.0026421827960621106,NA,NA,NA,0.03212734243757897,-0.19996359473105313,0.2642182796062111,"living_anchor_secondary_split","anchor",846,18
"age60plus_share","secondary_post",-5.33749669605747e-4,0.0011342685541052932,0.643930850539743,-0.002926847134503566,0.0018593477952920723,NA,NA,NA,-0.0533749669605747,-0.2926847134503566,0.18593477952920723,"living_anchor_secondary_split","secondary",846,18
"male_share","anchor_post",0.0027025263292007125,0.0026793399247976284,0.3272826429731026,-0.0029503867824480696,0.008355439440849495,NA,NA,NA,0.27025263292007123,-0.29503867824480695,0.8355439440849495,"living_anchor_secondary_split","anchor",846,18
"male_share","secondary_post",0.001319481323238834,0.003124896652697629,0.6781360081178754,-0.005273474313741809,0.007912436960219477,NA,NA,NA,0.13194813232388342,-0.5273474313741808,0.7912436960219477,"living_anchor_secondary_split","secondary",846,18
"after_work_share","anchor_post",7.72788576219634e-4,0.0020199582782642195,0.706774829053828,-0.00348895086583558,0.005034528018274849,NA,NA,NA,0.0772788576219634,-0.348895086583558,0.5034528018274849,"living_anchor_secondary_split","anchor",846,18
"after_work_share","secondary_post",2.0363125523310656e-4,0.002003135722257238,0.920218934734355,-0.004022615696099605,0.004429878206565818,NA,NA,NA,0.020363125523310655,-0.4022615696099605,0.4429878206565818,"living_anchor_secondary_split","secondary",846,18
"late_night_share","anchor_post",9.636579198032587e-4,0.004729584836428249,0.8409671429333607,-0.009014893844777296,0.010942209684383815,NA,NA,NA,0.09636579198032587,-0.9014893844777296,1.0942209684383815,"living_anchor_secondary_split","anchor",846,18
"late_night_share","secondary_post",0.005935651113703733,0.006050961804546659,0.3403757321871088,-0.006830762362403201,0.018702064589810666,NA,NA,NA,0.5935651113703733,-0.6830762362403201,1.8702064589810667,"living_anchor_secondary_split","secondary",846,18
