quarter_code,treated_log_sales,synthetic_log_sales,gap_log,period
20191,26.238665232287147,26.18887804710288,0.04978718518426817,pre
20192,26.21736030276532,26.235415035470105,-0.018054732704783305,pre
20193,26.2283509059839,26.26952829560616,-0.041177389622262695,pre
20194,26.298368483002534,26.3427413942054,-0.044372911202867016,pre
20201,26.22914669339262,26.144436998543213,0.08470969484940838,pre
20202,26.231125355398344,26.219212631638577,0.011912723759767374,pre
20203,26.238968586122937,26.24236768857035,-0.0033991024474140374,pre
20204,26.22524145056304,26.261108444414212,-0.035866993851172424,pre
20211,26.304021378545855,26.23869546651436,0.06532591203149352,pre
20212,26.34044741586967,26.372213157638093,-0.031765741768424505,pre
20213,26.28760567001453,26.307726752275357,-0.02012108226082887,pre
20214,26.419996475404968,26.462405860166527,-0.042409384761558755,pre
20221,26.35753504887601,26.294211617079903,0.06332343179610689,pre
20223,26.418212466801776,26.435423748511276,-0.017211281709499815,post
20224,26.422290971406248,26.46315423538118,-0.040863263974930675,post
20231,26.45772318621703,26.374591435589,0.08313175062803069,post
20232,26.364608327304353,26.416225435327732,-0.05161710802337893,post
20233,26.427310863803324,26.379350097092075,0.04796076671124894,post
20234,26.44186976410492,26.430593189690853,0.011276574414065266,post
20241,26.43777708583059,26.365271715091943,0.07250537073864649,post
20242,26.363264585899408,26.376930637815843,-0.01366605191643444,post
20243,26.35495084142662,26.337025266700206,0.01792557472641576,post
20244,26.388374317133987,26.360207186600576,0.028167130533411466,post
