unit,weight
11680580_삼성1동,0.333356674103716
11680545_압구정동,0.30842515840442913
11680565_청담동,0.22391922851159
11680630_대치4동,0.133885747996405
11650530_서초3동,0.00040633710672420775
11680610_대치2동,5.740374571489275e-06
11680531_논현2동,1.0742129956857876e-06
11680600_대치1동,3.0540726624128995e-08
11680590_삼성2동,4.957380404116023e-09
11680650_역삼2동,2.6666214426378937e-09
11650581_반포4동,8.605919249276121e-10
11650510_서초1동,1.724379010720481e-10
11650580_반포3동,9.179292436307847e-11
11650570_반포2동,1.7099243667628488e-14
