"station_line","weight"
"2호선_역삼",0.6012378378186283
"3호선_압구정",0.12701660459520384
"2호선_삼성(무역센터)",0.10741803830169196
"9호선_고속터미널",0.08386213142228555
"3호선_잠원",0.042189795161640314
"9호선_구반포",0.01407697217123168
"2호선_선릉",0.010372106115456277
"2호선_교대(법원.검찰청)",0.004652865954022386
"9호선2~3단계_봉은사",0.0027409127024674382
"7호선_청담",0.001046527754517795
"9호선2~3단계_선정릉",8.304328962024564e-4
"7호선_강남구청",7.381523995628593e-4
"7호선_학동",5.90207947956974e-4
"2호선_서초",5.864527221715333e-4
"7호선_반포",5.850269284945213e-4
"3호선_교대(법원.검찰청)",5.50409283831245e-4
"9호선2~3단계_언주",4.611026365052776e-4
"3호선_양재(서초구청)",4.3021457734056766e-4
"3호선_매봉",3.002014966432412e-4
"9호선_사평",1.8471287966820128e-4
"9호선_신반포",1.2929423447774783e-4
